user_id,city,property_type,min_price,max_price,rooms,amenities,check_in,check_out,guests,clicked_property_id,booked,rating_given
58,Москва,apartment,1000,6000,1,"[""parking"", ""tv"", ""pets"", ""gym"", ""pool""]",2024-02-02,2024-02-03,1,112,0,0
14,Сочи,villa,3000,8000,3,"[""gym"", ""wifi"", ""kitchen"", ""ac""]",2025-03-08,2025-03-19,3,80,0,0
173,Санкт-Петербург,apartment,3000,5000,2,"[""pets"", ""gym""]",2024-02-14,2024-03-09,4,275,0,0
194,Санкт-Петербург,villa,2000,12000,4,"[""parking""]",2024-02-16,2024-03-09,2,396,0,0
41,Сочи,apartment,3000,13000,3,"[""ac"", ""kitchen"", ""pets"", ""tv"", ""parking""]",2025-11-17,2025-11-26,6,480,0,0
37,Казань,villa,1000,6000,3,"[""gym"", ""tv"", ""pool""]",2025-12-02,2025-12-13,1,118,1,4
138,Санкт-Петербург,house,5000,15000,1,"[""washer"", ""balcony"", ""pets"", ""parking"", ""kitchen""]",2024-05-22,2024-05-30,6,288,0,0
300,Краснодар,villa,3000,13000,1,"[""tv""]",2025-05-20,2025-05-23,1,441,0,0
82,Краснодар,villa,0,20000,3,"[""washer"", ""tv"", ""gym"", ""pets""]",2024-01-12,2024-02-03,6,59,0,0
275,Екатеринбург,apartment,0,10000,3,"[""washer""]",2024-01-04,2024-01-28,6,135,1,5
55,Екатеринбург,villa,5000,10000,1,"[""kitchen"", ""tv""]",2025-06-27,2025-07-27,1,307,0,0
10,Санкт-Петербург,apartment,2000,7000,0,"[""pets""]",2024-03-21,2024-03-24,6,249,1,5
65,Казань,room,5000,10000,2,"[""pets"", ""balcony"", ""pool"", ""gym""]",2025-12-07,2025-12-14,6,160,0,0
192,Нижний Новгород,villa,3000,5000,1,"[""parking""]",2024-12-12,2024-12-13,5,284,0,0
113,Москва,apartment,0,5000,0,[],2024-12-04,2024-12-07,5,122,0,0
249,Сочи,villa,1000,21000,1,"[""balcony"", ""pool"", ""parking""]",2024-04-09,2024-05-01,4,182,0,0
240,Москва,apartment,0,20000,2,[],2024-09-11,2024-09-18,2,275,0,0
217,Казань,apartment,3000,8000,0,"[""tv"", ""parking"", ""wifi""]",2025-10-29,2025-11-16,1,497,0,0
122,Казань,room,3000,23000,1,"[""wifi"", ""kitchen"", ""balcony""]",2024-01-03,2024-01-16,3,475,1,4
285,Нижний Новгород,house,1000,11000,1,[],2025-08-16,2025-09-09,5,32,1,0
300,Нижний Новгород,villa,5000,10000,0,"[""parking"", ""kitchen"", ""pets"", ""gym""]",2024-03-10,2024-04-01,2,207,0,0
292,Сочи,villa,5000,7000,4,[],2025-03-05,2025-03-27,5,290,0,0
134,Сочи,apartment,1000,11000,3,"[""gym""]",2025-04-13,2025-04-24,1,5,0,0
289,Санкт-Петербург,apartment,5000,10000,4,"[""kitchen"", ""ac""]",2024-03-11,2024-04-09,2,190,0,0
225,Екатеринбург,villa,5000,7000,4,"[""parking"", ""kitchen""]",2024-09-27,2024-10-01,1,381,0,0
140,Екатеринбург,villa,1000,11000,1,"[""gym"", ""tv"", ""washer"", ""kitchen"", ""wifi""]",2024-04-04,2024-04-25,4,425,0,0
2,Новосибирск,house,2000,7000,3,"[""balcony"", ""tv"", ""wifi"", ""washer""]",2024-03-18,2024-04-16,6,463,0,0
19,Новосибирск,villa,5000,10000,3,"[""wifi""]",2024-11-11,2024-11-23,1,461,0,0
128,Санкт-Петербург,apartment,5000,25000,4,"[""kitchen"", ""pool"", ""pets"", ""balcony"", ""parking""]",2025-02-26,2025-02-27,2,378,1,4
128,Екатеринбург,house,0,20000,0,"[""pool"", ""pets"", ""washer""]",2024-12-24,2025-01-03,2,115,0,0
99,Краснодар,apartment,2000,4000,2,"[""tv"", ""balcony""]",2025-11-26,2025-12-23,5,170,1,0
134,Казань,villa,2000,4000,0,"[""balcony"", ""ac"", ""tv"", ""pool""]",2025-09-12,2025-09-29,1,198,1,0
23,Краснодар,apartment,5000,10000,2,"[""parking"", ""ac"", ""tv""]",2025-11-10,2025-12-08,1,369,1,4
168,Краснодар,apartment,5000,10000,1,"[""balcony"", ""kitchen"", ""gym""]",2025-02-19,2025-03-09,1,156,0,0
221,Новосибирск,room,3000,23000,1,"[""washer"", ""kitchen"", ""parking"", ""tv""]",2025-06-11,2025-07-03,6,318,0,0
121,Екатеринбург,house,1000,6000,0,[],2024-09-07,2024-09-23,5,436,1,5
100,Краснодар,room,3000,8000,1,"[""wifi"", ""parking"", ""balcony"", ""tv"", ""washer""]",2025-12-13,2025-12-30,4,26,0,0
63,Нижний Новгород,house,3000,13000,3,"[""tv"", ""balcony"", ""washer"", ""parking""]",2025-05-01,2025-05-16,3,385,0,0
142,Нижний Новгород,house,2000,22000,0,"[""gym"", ""pool"", ""pets"", ""kitchen"", ""balcony""]",2025-07-07,2025-07-10,2,78,0,0
79,Сочи,apartment,3000,23000,2,"[""washer"", ""balcony"", ""wifi"", ""parking""]",2025-03-06,2025-03-19,5,485,0,0
295,Краснодар,room,0,10000,2,"[""balcony"", ""tv"", ""pool""]",2025-05-14,2025-05-22,3,224,0,0
200,Новосибирск,room,1000,21000,1,"[""tv"", ""wifi"", ""balcony"", ""gym""]",2025-07-31,2025-08-22,1,43,0,0
70,Нижний Новгород,house,0,10000,3,"[""pool"", ""washer""]",2024-11-30,2024-12-11,4,143,1,3
42,Нижний Новгород,apartment,5000,7000,2,"[""parking""]",2025-10-29,2025-10-31,1,487,0,0
11,Казань,house,1000,21000,0,"[""pool"", ""washer"", ""gym"", ""balcony""]",2025-01-12,2025-01-18,5,311,1,2
160,Санкт-Петербург,villa,0,10000,4,"[""balcony"", ""pets"", ""pool"", ""wifi"", ""gym""]",2025-12-08,2026-01-04,6,125,0,0
155,Санкт-Петербург,villa,0,10000,4,"[""ac"", ""parking"", ""pets""]",2024-01-13,2024-02-10,4,422,0,0
222,Новосибирск,room,1000,21000,1,"[""tv"", ""gym"", ""washer"", ""pool"", ""balcony""]",2025-08-29,2025-09-07,3,437,0,0
45,Екатеринбург,room,1000,21000,4,"[""balcony"", ""ac"", ""wifi"", ""pool""]",2024-11-28,2024-12-04,4,109,0,0
133,Новосибирск,apartment,5000,15000,4,[],2025-06-13,2025-06-20,1,124,1,2
244,Нижний Новгород,room,0,2000,2,"[""balcony""]",2025-12-09,2025-12-17,3,340,0,0
243,Новосибирск,room,5000,15000,2,"[""washer"", ""gym"", ""tv"", ""kitchen"", ""parking""]",2024-05-03,2024-05-27,2,162,0,0
275,Казань,house,1000,21000,2,"[""pets"", ""tv"", ""gym"", ""wifi"", ""parking""]",2024-10-30,2024-11-07,3,92,0,0
274,Казань,apartment,0,2000,4,"[""kitchen"", ""washer""]",2024-04-15,2024-05-13,1,294,0,0
246,Нижний Новгород,apartment,1000,3000,2,"[""parking"", ""pets"", ""balcony""]",2025-05-18,2025-05-21,5,323,0,0
78,Казань,villa,2000,4000,1,[],2025-07-25,2025-08-19,4,311,0,0
116,Краснодар,room,3000,13000,4,"[""gym"", ""wifi"", ""parking""]",2024-07-31,2024-08-21,2,136,0,0
81,Сочи,house,5000,7000,1,[],2025-02-22,2025-03-09,6,305,0,0
17,Сочи,apartment,2000,22000,0,"[""pool"", ""gym"", ""pets"", ""washer"", ""wifi""]",2025-07-11,2025-07-19,6,77,1,1
31,Казань,apartment,5000,15000,3,[],2025-04-24,2025-05-17,3,359,0,0
140,Нижний Новгород,room,0,2000,3,"[""ac"", ""gym"", ""wifi"", ""washer"", ""parking""]",2025-11-21,2025-12-18,5,301,1,3
296,Москва,house,3000,23000,2,"[""pets""]",2025-03-22,2025-04-12,4,497,0,0
179,Краснодар,apartment,2000,4000,1,"[""balcony"", ""washer""]",2024-10-22,2024-11-13,4,417,1,0
46,Новосибирск,apartment,2000,4000,3,"[""wifi"", ""tv"", ""washer"", ""pool""]",2024-02-25,2024-03-03,5,186,0,0
256,Нижний Новгород,apartment,1000,11000,4,"[""gym""]",2025-03-24,2025-04-22,6,249,0,0
123,Казань,apartment,5000,7000,4,"[""parking"", ""pool"", ""pets""]",2025-04-17,2025-04-21,6,427,0,0
150,Екатеринбург,room,3000,23000,1,"[""tv"", ""kitchen"", ""balcony""]",2024-07-14,2024-08-13,5,261,1,0
36,Екатеринбург,room,2000,12000,0,"[""gym"", ""washer""]",2024-06-01,2024-06-16,5,248,0,0
283,Краснодар,room,2000,7000,1,"[""balcony"", ""pool"", ""pets"", ""wifi""]",2024-11-21,2024-12-15,4,362,1,0
78,Нижний Новгород,apartment,1000,11000,0,"[""parking"", ""tv"", ""washer""]",2024-01-16,2024-02-09,2,210,1,1
241,Екатеринбург,apartment,5000,25000,0,"[""tv"", ""balcony""]",2024-11-20,2024-12-11,6,455,1,1
36,Сочи,apartment,1000,3000,3,[],2025-10-10,2025-11-02,1,228,0,0
154,Москва,apartment,2000,4000,2,"[""ac"", ""balcony""]",2024-05-29,2024-06-06,5,211,0,0
93,Казань,house,0,20000,4,"[""pool"", ""washer"", ""kitchen"", ""parking"", ""pets""]",2025-10-15,2025-10-24,4,131,0,0
239,Екатеринбург,villa,1000,3000,3,"[""pets"", ""gym""]",2025-10-16,2025-10-30,6,129,0,0
155,Сочи,room,3000,5000,1,"[""pets"", ""ac"", ""gym""]",2025-12-17,2025-12-27,1,425,0,0
141,Москва,villa,0,20000,2,"[""pets""]",2024-12-26,2025-01-03,6,98,0,0
71,Санкт-Петербург,apartment,2000,22000,0,"[""ac"", ""kitchen"", ""parking"", ""tv""]",2024-11-30,2024-12-24,4,90,0,0
